,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
888,진범,고정욱,(주)리틀빅픽쳐스,D,20190710,summer,한국,224,1424601000,167333,스릴러,15세이상관람가,일반영화,"송새벽,유선",100,2019,0,6.33,0,0,703896,165,53,0,C,7.829268293,82
889,벌새,김보라,"(주)엣나인필름,(주)콘텐츠판다",D,20190829,summer,한국,145,1169896574,143944,드라마,15세이상관람가,독립/예술영화,"박지후,김새벽",138,2019,0,8.38,0,0,3603380,122,181,0,C,10,2
890,눈의 여왕4,"로버트 렌스,알렉세이 트시칠린",(주)넥스트엔터테인먼트월드(NEW),C,20191224,winter,기타,541,1044574960,143853,애니메이션,전체관람가,일반영화,"양정화,박지윤,임채헌",87,2019,366442,6,1,0,3431133,22,92,0,A,9.246153846,65
891,크롤,알렉산더 아야,롯데컬처웍스(주)롯데엔터테인먼트,A,20191127,autumn,미국,612,1126587080,140396,액션,15세이상관람가,일반영화,"카야 스코델라리오,배리 페퍼",87,2019,2964,5.75,0,0,5345181,20,179,0,A,8.366197183,71
892,극장판 엉덩이 탐정: 화려한 사건 수첩,히라야마 미호,(주)넥스트엔터테인먼트월드(NEW),C,20190711,summer,일본,561,1094031140,138118,애니메이션,전체관람가,일반영화,"김은아,소연",68,2019,0,6,0,1,5694290,12,108,0,A,6.846153846,39
893,좀비랜드: 더블 탭,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,20191113,autumn,미국,585,1176173880,136869,액션,15세이상관람가,일반영화,"우디 해럴슨,제시 아이젠버그,아비게일 브레스린",99,2019,3888096,6.5,1,0,10881099,17,187,0,B,8.549019608,51
894,미드웨이,롤랜드 에머리히,(주)누리픽쳐스,D,20191231,winter,미국,810,1085659520,133373,액션,15세이상관람가,일반영화,"에드 스크레인,패트릭 윌슨,루크 에반스",136,2019,1202842,5.5,0,1,8872572,26,203,0,C,8.766129032,248
895,프린스 코기,벤 스타센,(주)이수C&E,B,20191224,winter,기타,455,1028933300,132958,애니메이션,전체관람가,독립/예술영화,"심규혁,김리흔,엄상현",82,2019,453831,6,0,0,4493268,14,79,0,B,9.3625,80
896,윤희에게,임대형,(주)리틀빅픽쳐스,D,20191114,autumn,한국,317,931873501,117019,멜로/로맨스,12세이상관람가,독립/예술영화,"김희애,김소혜,성유빈",105,2019,2820,6.71,0,0,13313047,268,371,0,C,9.428571429,77
897,안나,뤽 베송,판씨네마(주),D,20190828,summer,프랑스,431,946058240,114796,액션,15세이상관람가,일반영화,"사샤 루스,킬리언 머피,루크 에반스",119,2019,511931,5,0,0,2841834,56,172,0,C,8.277777778,54
898,람보 : 라스트 워,애드리언 그런버그,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",D,20191023,autumn,미국,483,800099140,103199,액션,청소년관람불가,일반영화,실베스터 스탤론,101,2019,0,3,1,1,6431,17,230,0,C,8.583333333,36
899,원더랜드,딜런 브라운,롯데컬처웍스(주)롯데엔터테인먼트,A,20190814,summer,미국,404,766608510,102715,애니메이션,전체관람가,일반영화,"소연,장민혁,안장혁",85,2019,0,0,0,0,754150,19,130,0,A,8.548387097,31
900,암전,김진원,TCO(주)더콘텐츠온,D,20190815,summer,한국,423,898461215,101913,미스터리,15세이상관람가,일반영화,"서예지,진선규",86,2019,0,5.25,0,0,7638838,736,351,1,C,5.482758621,29
901,소피와 드래곤: 마법책의 비밀,마리나 네페도바,씨제이이앤엠(주),A,20191002,autumn,기타,469,749609350,96495,애니메이션,전체관람가,일반영화,"정유정,김명준",72,2019,0,5,0,0,3252814,3,138,0,A,5.217391304,23
902,러브 앳,위고 젤랭,(주)크리픽쳐스,D,20191127,autumn,프랑스,153,745125500,93085,멜로/로맨스,12세이상관람가,일반영화,"프랑수아 시빌,조세핀 자피",118,2019,8779,6,0,0,52896,19,159,0,C,10,2
903,아내를 죽였다,김하라,케이티하이텔(주),B,20191211,winter,한국,556,764062560,91782,스릴러,15세이상관람가,독립/예술영화,"이시언,안내상,왕지혜",97,2019,0,0,0,0,5593551,1154,351,0,B,8.666666667,48
904,미드소마,아리 애스터,(주)팝엔터테인먼트,D,20190711,summer,미국,388,800891816,88055,공포,청소년관람불가,독립/예술영화,"플로렌스 퓨,잭 레이너,윌 폴터",170,2019,174223,7.2,0,0,19885,30,172,0,C,7.625,80
905,김복동,송원근,(주)엣나인필름,D,20190808,summer,한국,366,695605860,87029,다큐멘터리,12세이상관람가,독립/예술영화,"김복동,한지민",101,2019,0,6.6,0,1,11794796,149,635,0,C,9.9,50
906,카운트다운,저스틴 덱,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",D,20191212,winter,미국,238,610621000,73305,공포,15세이상관람가,일반영화,"엘리자베스 라일,피터 파시넬리,탈리타 베이트먼",90,2019,0,3,0,0,1934192,26,136,0,C,0,0
907,극장판 반지의 비밀일기,한승우,"(주)영화사 빅,(주)버킷스튜디오",D,20190911,autumn,한국,459,539843170,67319,애니메이션,전체관람가,일반영화,"방연지,김선혜,조경이",72,2019,0,7,0,1,594419,13,97,0,C,9.333333333,9
908,몬스터 하우스,피터 레페니오티스,(주)박수엔터테인먼트,D,20191003,autumn,기타,202,506405000,63784,애니메이션,전체관람가,일반영화,"베키 지,조쉬 펙,올리비아 홀트",85,2019,0,0,0,0,72495,4,104,1,C,9,1
909,닥터 슬립,마이크 플래너건,워너브러더스 코리아(주),B,20191107,autumn,미국,484,537986260,61784,스릴러,15세이상관람가,일반영화,"이완 맥그리거,레베카 퍼거슨,카일리 커란",152,2019,343539,7.5,0,1,7925402,14,166,0,B,8.923076923,52
910,안녕 베일리,게일 맨쿠소,CGV아트하우스,A,20190905,autumn,미국,184,486987900,59397,드라마,전체관람가,일반영화,"조시 게드,데니스 퀘이드,캐서린 프레스콧",109,2019,0,5.5,0,0,1088109,47,143,0,A,10,3
911,애프터,제니 게이지,판씨네마(주),D,20190822,summer,미국,235,493655240,58645,드라마,15세이상관람가,독립/예술영화,"히어로 파인즈 티핀,조세핀 랭포드",105,2019,0,5,0,1,0,34,150,0,C,8.034482759,29
912,더 룸,크리스티앙 볼크만,"(주)퍼스트런,(주)팬엔터테인먼트",D,20190925,autumn,프랑스,163,461964100,56787,미스터리,15세이상관람가,독립/예술영화,"올가 쿠릴렌코,케빈 얀센스",100,2019,0,5.67,0,0,8272,17,133,0,C,9.1,10
